[DOMAIN:标签] [CAT:二次元角色/作品] touhou | 东方
[DOMAIN:标签] [CAT:二次元角色/作品] momotaros | 桃塔罗斯
[DOMAIN:标签] [CAT:二次元角色/作品] yamada_jiro | 山田二郎
[DOMAIN:标签] [CAT:二次元角色/角色] kresnik_(housamo) | 克雷斯尼克（家师）
[DOMAIN:标签] [CAT:二次元角色/作品] hitachiin_kaoru | 常陆院薰
[DOMAIN:标签] [CAT:二次元角色/作品] juliet_queen_elizabeth_viii | 朱丽叶·伊丽莎白八世女王
[DOMAIN:标签] [CAT:二次元角色/作品] water_elemental | 水元素
[DOMAIN:标签] [CAT:二次元角色/角色] borg_(alien_nine) | 博格（异形九）
[DOMAIN:标签] [CAT:二次元角色/角色] jo_(bakuretsu_tenshi) | 乔（爆裂天使）
[DOMAIN:标签] [CAT:二次元角色/作品] borr | 博尔
[DOMAIN:标签] [CAT:二次元角色/作品] togashi_koyori | 富樫小依
[DOMAIN:标签] [CAT:二次元角色/作品] e-123_omega | E-123奥米茄
[DOMAIN:标签] [CAT:二次元角色/作品] klinklang | 齿轮怪
[DOMAIN:标签] [CAT:二次元角色/角色] wendy_(honkai_impact) | 温蒂（崩坏冲击）
[DOMAIN:标签] [CAT:二次元角色/作品] kizuna_kirameku_koi_iroha | 羁绊闪耀恋色叶
[DOMAIN:标签] [CAT:二次元角色/作品] shining_gundam | 闪光高达
[DOMAIN:标签] [CAT:二次元角色/作品] minase_nagisa | 水濑渚
[DOMAIN:标签] [CAT:二次元角色/作品] himuro_hitoshi | 冰室等
[DOMAIN:标签] [CAT:二次元角色/作品] tanaka_misa | 田中美沙
[DOMAIN:标签] [CAT:二次元角色/角色] mana_(super_real_mahjong) | 玛娜（超级真实麻将）
[DOMAIN:标签] [CAT:二次元角色/角色] minato_aqua_(8th_costume) | 凑阿库娅（第八服装）
[DOMAIN:标签] [CAT:二次元角色/作品] shinohayu_the_dawn_of_age | 篠春之破晓
[DOMAIN:标签] [CAT:二次元角色/作品] grubbin | 强颚鸡母虫
[DOMAIN:标签] [CAT:二次元角色/作品] asagiri_gen | 朝雾玄
[DOMAIN:标签] [CAT:二次元角色/作品] ninym_ralei | 妮尼姆·拉雷
[DOMAIN:标签] [CAT:二次元角色/作品] yuinshiel_asteria | 尤因希尔·阿斯特利亚
[DOMAIN:标签] [CAT:二次元角色/角色] dp28_(girls'_frontline) | DP28（少女前线）
[DOMAIN:标签] [CAT:二次元角色/作品] roswaal_l._mathers | 罗兹瓦尔·L·马瑟斯
[DOMAIN:标签] [CAT:二次元角色/角色] rosmontis_(become_anew)_(arknights) | 罗丝蒙特（焕然新生）（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/作品] white-faced_varre | 白面瓦雷
[DOMAIN:标签] [CAT:二次元角色/作品] akisato_konoha | 秋里木叶
[DOMAIN:标签] [CAT:二次元角色/作品] kiyosumi_kuro | 清澄黑
[DOMAIN:标签] [CAT:二次元角色/角色] john_(tiger_&_bunny) | 约翰（老虎和兔子）
[DOMAIN:标签] [CAT:二次元角色/作品] amata_sora | 天田空
[DOMAIN:标签] [CAT:二次元角色/作品] anima_yell! | 动物呐喊！
[DOMAIN:标签] [CAT:二次元角色/作品] bliss_barson | 布莉丝·巴森
[DOMAIN:标签] [CAT:二次元角色/作品] aizawa_tomomi | 相泽友美
[DOMAIN:标签] [CAT:二次元角色/作品] sakurano_otoha | 樱之音羽
[DOMAIN:标签] [CAT:二次元角色/角色] iansan_(genshin_impact) | 烟绯（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] saishuu_heiki_kanojo | 最终兵器女友
[DOMAIN:标签] [CAT:二次元角色/角色] shiromo_(pui_pui_molcar) | 白藻（噗噗摩尔卡）
[DOMAIN:标签] [CAT:二次元角色/作品] noa-senpai_wa_tomodachi. | 诺亚前辈是朋友。
[DOMAIN:标签] [CAT:二次元角色/作品] tona-gura! | 托娜格拉！
[DOMAIN:标签] [CAT:二次元角色/作品] onomachi_haruka | 小野町遥
[DOMAIN:标签] [CAT:二次元角色/角色] nameless_(kof) | 无名（拳皇）
[DOMAIN:标签] [CAT:二次元角色/作品] molly_hale | 莫莉·海尔
[DOMAIN:标签] [CAT:二次元角色/角色] kaburagi_(decadence) | 鏑木（堕落者）
[DOMAIN:标签] [CAT:二次元角色/作品] tomoyo_after | 智代后记
[DOMAIN:标签] [CAT:二次元角色/角色] ochiai_(kinjo_no_hito_no_nakimushi) | 落合（近所之人的泣虫）
[DOMAIN:标签] [CAT:二次元角色/角色] marie_rose_(cosplay) | 玛丽·萝丝（Cosplay）
[DOMAIN:标签] [CAT:二次元角色/角色] alcina_dimitrescu_(cosplay) | 阿尔奇娜·迪米特雷斯库（Cosplay）
[DOMAIN:标签] [CAT:二次元角色/角色] sasha_(animal_crossing) | 莎夏（动物森友会）
[DOMAIN:标签] [CAT:二次元角色/作品] star_guardian_janna | 星之守护者 迦娜
[DOMAIN:标签] [CAT:二次元角色/作品] aryll | 阿莉尔
[DOMAIN:标签] [CAT:二次元角色/作品] kimura | 木村
[DOMAIN:标签] [CAT:二次元角色/作品] aika_zero | 爱花零
[DOMAIN:标签] [CAT:二次元角色/角色] tamamo_(yagi) | 玉藻（八木）
[DOMAIN:标签] [CAT:二次元角色/作品] crimson_typhoon | 赤红台风
[DOMAIN:标签] [CAT:二次元角色/作品] carla_j._luksic | 卡拉·J·卢克西奇
[DOMAIN:标签] [CAT:二次元角色/角色] sora_(orange_juice) | 空（橙汁）
[DOMAIN:标签] [CAT:二次元角色/角色] shantak_(nyaruko-san) | 闪塔克（潜行吧！奈亚子）
[DOMAIN:标签] [CAT:二次元角色/作品] dragon_lord | 龙王
[DOMAIN:标签] [CAT:二次元角色/作品] tatakae!!_iczer-1 | 战斗！！伊卡泽1号
[DOMAIN:标签] [CAT:二次元角色/角色] tea_party_militant_(blue_archive) | 茶会好战分子（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] ribbon_(rabi-ribi) | 缎带（拉比拉比）
[DOMAIN:标签] [CAT:二次元角色/角色] aru_(young)_(blue_archive) | 阿露（幼年）（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] cattleya_(flower_knight_girl) | 卡特莱亚（御城少女）
[DOMAIN:标签] [CAT:二次元角色/作品] schwann_oltorain | 施万·奥尔托兰
[DOMAIN:标签] [CAT:二次元角色/作品] carole_&_tuesday | 卡罗尔与星期二
[DOMAIN:标签] [CAT:二次元角色/作品] housen_elis | 宝仙艾莉丝
[DOMAIN:标签] [CAT:二次元角色/作品] hex_haywire | 赫克斯·海怀尔
[DOMAIN:标签] [CAT:二次元角色/作品] shallotte_elminus | 夏洛特·艾尔米纳斯
[DOMAIN:标签] [CAT:二次元角色/角色] eishin_flash_(reines_plaetschern)_(umamusume) | 荣进闪耀（涟漪轻漾）（赛马娘）
[DOMAIN:标签] [CAT:二次元角色/作品] haitani_rindou | 灰谷龙胆
[DOMAIN:标签] [CAT:二次元角色/角色] sakura_(urusei_yatsura) | 樱花（福星小子）
[DOMAIN:标签] [CAT:二次元角色/作品] scatterbug | 粉蝶虫
[DOMAIN:标签] [CAT:二次元角色/作品] e.t. | 外星人
[DOMAIN:标签] [CAT:二次元角色/作品] hoshiuta | 星歌
[DOMAIN:标签] [CAT:二次元角色/角色] rand_(gyee) | 兰德（Gyee）
[DOMAIN:标签] [CAT:二次元角色/角色] hanabatake_chaika_(1st_costume) | 花畑茶卡（第一套装）
[DOMAIN:标签] [CAT:二次元角色/作品] aruka | 有鹿
[DOMAIN:标签] [CAT:二次元角色/作品] monophanie | 单音华
[DOMAIN:标签] [CAT:二次元角色/角色] dynazenon_(character) | 戴拿泽诺（角色）
[DOMAIN:标签] [CAT:二次元角色/角色] magik_(x-men) | 秘客（X战警）
[DOMAIN:标签] [CAT:二次元角色/角色] cheeta_(girls'_frontline_2) | 猎豹（少女前线2）
[DOMAIN:标签] [CAT:二次元角色/角色] red_hood_(black_souls) | 小红帽（黑暗之魂）
[DOMAIN:标签] [CAT:二次元角色/作品] agemaki_wako | 扬卷和子
[DOMAIN:标签] [CAT:二次元角色/作品] mikado_nagi | 御门凪
[DOMAIN:标签] [CAT:二次元角色/角色] hakkito_(banzoin_hakka) | 白雉斗（般若院ハッカ）
[DOMAIN:标签] [CAT:二次元角色/角色] cherino_(qipao)_(blue_archive) | 切里诺（旗袍）（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/作品] rokkaku_shiori | 六角诗织
[DOMAIN:标签] [CAT:二次元角色/角色] calen_(time_bokan) | 卡莲（时间飞船）
[DOMAIN:标签] [CAT:二次元角色/作品] meroko_yui | 目露子唯
[DOMAIN:标签] [CAT:二次元角色/作品] bronzor | 铜镜怪
[DOMAIN:标签] [CAT:二次元角色/作品] terra_formars | 火星异种
[DOMAIN:标签] [CAT:二次元角色/角色] iron_paladin_(elsword) | 钢铁圣骑士（艾尔之光）
[DOMAIN:标签] [CAT:二次元角色/作品] hondoumachi_koharu | 本堂町小春
[DOMAIN:标签] [CAT:二次元角色/作品] ennis | 恩尼斯
[DOMAIN:标签] [CAT:二次元角色/作品] samira | 萨米拉
[DOMAIN:标签] [CAT:二次元角色/作品] bungaku_shoujo | 文学少女
[DOMAIN:标签] [CAT:二次元角色/角色] arlan_(honkai:_star_rail) | 阿兰（崩坏：星穹铁道）
[DOMAIN:标签] [CAT:二次元角色/角色] tamami_(jonsun) | 玉美（纯孙）
[DOMAIN:标签] [CAT:二次元角色/作品] momose_amane | 百濑雨音
[DOMAIN:标签] [CAT:二次元角色/角色] tashkent_(muse)_(azur_lane) | 塔什干（缪斯）（碧蓝航线）
[DOMAIN:标签] [CAT:二次元角色/作品] agnes_joubert | 艾格尼丝·朱伯特
[DOMAIN:标签] [CAT:二次元角色/角色] takoko_yakisoba_(combos_&_doodles) | 多古子炒面（组合与涂鸦）
[DOMAIN:标签] [CAT:二次元角色/作品] tenma_umatarou | 天马午马太郎
[DOMAIN:标签] [CAT:二次元角色/角色] brynhildr_(swimsuit_berserker)_(first_ascension)_(fate) | 布伦希尔德（泳装狂战士）（初次再临）（命运）
[DOMAIN:标签] [CAT:二次元角色/角色] brynhildr_(cheer_for_master)_(fate) | 布伦希尔德（为主人应援）（命运）
[DOMAIN:标签] [CAT:二次元角色/角色] cha_(kancolle) | 茶（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] haru_(beastars) | 春（BEASTARS）
[DOMAIN:标签] [CAT:二次元角色/角色] ichiko_(osomatsu-san) | 一子（阿松）
[DOMAIN:标签] [CAT:二次元角色/角色] menogias_(genshin_impact) | 梅诺吉亚斯（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] tamase_miki | 玉濑美纪
[DOMAIN:标签] [CAT:二次元角色/作品] sailor_star_maker | 水手星光制造者
[DOMAIN:标签] [CAT:二次元角色/作品] bryan_fury | 布莱恩·弗瑞
[DOMAIN:标签] [CAT:二次元角色/角色] sekiguchi_(odd_taxi) | 关内（奇巧计程车）
[DOMAIN:标签] [CAT:二次元角色/角色] serena_(champion)_(pokemon) | 莎莉娜（冠军）（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/作品] hokkamuri | 北冠
[DOMAIN:标签] [CAT:二次元角色/作品] c2-chan | C2酱
[DOMAIN:标签] [CAT:二次元角色/角色] ramattra_(overwatch) | 拉玛刹（守望先锋）
[DOMAIN:标签] [CAT:二次元角色/作品] takanashi_hinata | 小日向雏田
[DOMAIN:标签] [CAT:二次元角色/作品] aikawa_ayumu | 相川步梦
[DOMAIN:标签] [CAT:二次元角色/作品] bouhatei_tetora | 防波堤 Tetra
[DOMAIN:标签] [CAT:二次元角色/角色] higuchi_kaede_(3rd_costume) | 樋口枫（第三服装）
[DOMAIN:标签] [CAT:二次元角色/作品] eska_bamel | 艾斯卡·巴梅尔
[DOMAIN:标签] [CAT:二次元角色/角色] hatsuyukisou_(flower_knight_girl) | 初雪草（花骑士少女）
[DOMAIN:标签] [CAT:二次元角色/作品] mittelt | 米特尔
[DOMAIN:标签] [CAT:二次元角色/作品] meguro_miyuki | 目黑深雪
[DOMAIN:标签] [CAT:二次元角色/作品] tendou_souun | 天道宗云
[DOMAIN:标签] [CAT:二次元角色/作品] minis | 迷你系列
[DOMAIN:标签] [CAT:二次元角色/角色] regensburg_(dark_dragon_brilliant_beach)_(azur_lane) | 雷根斯堡（暗龙辉光海滩）（碧蓝航线）
[DOMAIN:标签] [CAT:二次元角色/作品] technoroid | 机械人偶
[DOMAIN:标签] [CAT:二次元角色/作品] agitha | 阿吉莎
[DOMAIN:标签] [CAT:二次元角色/作品] tendou_karen | 天堂华莲
[DOMAIN:标签] [CAT:二次元角色/角色] renge_(bishoujo_mangekyou) | 莲华（美少女万华镜）
[DOMAIN:标签] [CAT:二次元角色/角色] tengen_toppa_gurren-lagann_(mecha) | 天元突破 红莲螺岩（机甲）
[DOMAIN:标签] [CAT:二次元角色/角色] blue_dragon_(kemono_friends) | 青龙（兽娘动物园）
[DOMAIN:标签] [CAT:二次元角色/作品] amaura | 冰雪龙
[DOMAIN:标签] [CAT:二次元角色/作品] fujiwara_takumi | 藤川匠
[DOMAIN:标签] [CAT:二次元角色/角色] fukaziroh_(sao) | 法卡西罗（刀剑神域）
[DOMAIN:标签] [CAT:二次元角色/作品] landorus | 土地云
[DOMAIN:标签] [CAT:二次元角色/角色] kite_(.hack//) | 凯特（.hack//）
[DOMAIN:标签] [CAT:二次元角色/角色] jennie_(blackpink) | Jennie（BLACKPINK）
[DOMAIN:标签] [CAT:二次元角色/作品] white_sister_rom | 白修女ROM
[DOMAIN:标签] [CAT:二次元角色/作品] tsuki_ga_michibiku_isekai_douchuu | 月导异世界旅途
[DOMAIN:标签] [CAT:二次元角色/作品] super_full_power_saiyan_4_limit_breaker | 超全功率赛亚人4限界突破
[DOMAIN:标签] [CAT:二次元角色/作品] ooya_kunimitsu | 大宅国光
[DOMAIN:标签] [CAT:二次元角色/角色] cthugha_(housamo) | 克图格亚（家出少年）
[DOMAIN:标签] [CAT:二次元角色/角色] mushoku_loli_(character) | 无色萝莉（角色）
[DOMAIN:标签] [CAT:二次元角色/作品] nishimiya_yuzuru | 西宫硝子
[DOMAIN:标签] [CAT:二次元角色/作品] nishikawa_youko | 西川阳子
[DOMAIN:标签] [CAT:二次元角色/作品] kitami_erika | 北见绘里香
[DOMAIN:标签] [CAT:二次元角色/作品] otome_wa_boku_ni_koishiteru_futari_no_elder | 少女爱上我二人的前辈
[DOMAIN:标签] [CAT:二次元角色/角色] nightmare_(kirby) | 梦魇（星之卡比）
[DOMAIN:标签] [CAT:二次元角色/角色] trinity_student_(blue_archive) | 三一学生（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/作品] fushimi_saruhiko | 伏见猿比古
[DOMAIN:标签] [CAT:二次元角色/作品] akimitsu-dono | 昭光殿
[DOMAIN:标签] [CAT:二次元角色/角色] usada_hikaru_(cosplay) | 宇佐田光（角色扮演）
[DOMAIN:标签] [CAT:二次元角色/角色] orla_(pokemon) | 奥拉（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/角色] kisaragi_yura_(zeatto) | 如月由良（Zeatto）
[DOMAIN:标签] [CAT:二次元角色/作品] laserbeak | 激光鸟
[DOMAIN:标签] [CAT:二次元角色/角色] cyborg_(dc) | 生化人（DC）
[DOMAIN:标签] [CAT:二次元角色/角色] wizard_(dragon's_crown) | 巫师（龙之皇冠）
[DOMAIN:标签] [CAT:二次元角色/作品] kurusu_alexandra | 来栖亚历山德拉
[DOMAIN:标签] [CAT:二次元角色/角色] ak-12_(age_of_slushies)_(girls'_frontline) | AK-12（冰沙时代）（少女前线）
[DOMAIN:标签] [CAT:二次元角色/角色] ayanami_(nightfall_raiment)_(azur_lane) | 绫波（夕暮之服）（碧蓝航线）
[DOMAIN:标签] [CAT:二次元角色/作品] sohee | 素熙
[DOMAIN:标签] [CAT:二次元角色/作品] shi_qingxuan | 师青玄
[DOMAIN:标签] [CAT:二次元角色/角色] oga_(elf-san_wa_yaserarenai.) | 男鹿（精灵小姐瘦不下来。）
[DOMAIN:标签] [CAT:二次元角色/角色] note_(dragon_ball) | 诺特（龙珠）
[DOMAIN:标签] [CAT:二次元角色/角色] ptrd_(girls'_frontline) | PTRD（少女前线）
[DOMAIN:标签] [CAT:二次元角色/作品] bellemere | 贝尔梅尔
[DOMAIN:标签] [CAT:二次元角色/角色] splatana_wiper_(splatoon) | 刮水刀（斯普拉遁）
[DOMAIN:标签] [CAT:二次元角色/角色] koiiro_byoutou_(vocaloid) | 恋色病栋（Vocaloid）
[DOMAIN:标签] [CAT:二次元角色/角色] amelia_(fire_emblem) | 阿梅莉娅（火焰纹章）
[DOMAIN:标签] [CAT:二次元角色/作品] tsumugi_kokage | 小阴纺
[DOMAIN:标签] [CAT:二次元角色/作品] tsukishiro_hitomi | 月城瞳
[DOMAIN:标签] [CAT:二次元角色/作品] ayato_utae | 歌饗綾人
[DOMAIN:标签] [CAT:二次元角色/作品] princess_sapphire | 蓝宝石公主
[DOMAIN:标签] [CAT:二次元角色/作品] kominato_ruuko | 小凑流子
[DOMAIN:标签] [CAT:二次元角色/作品] onizuka_saori | 鬼冢沙织
[DOMAIN:标签] [CAT:二次元角色/角色] female_dreamseeker_(honkai_impact) | 女性逐梦者（崩坏冲击）
[DOMAIN:标签] [CAT:二次元角色/角色] gaz_(call_of_duty_4) | 加兹（使命召唤4）
[DOMAIN:标签] [CAT:二次元角色/角色] nautica_(transformers) | 诺蒂卡（变形金刚）
[DOMAIN:标签] [CAT:二次元角色/作品] kagami_masara | 各务原
[DOMAIN:标签] [CAT:二次元角色/角色] alice_(as109) | 爱丽丝（AS109）
[DOMAIN:标签] [CAT:二次元角色/角色] garnet_(steven_universe) | 石榴石（史蒂芬宇宙）
[DOMAIN:标签] [CAT:二次元角色/作品] katsuragi_chikagi | 葛城千景
[DOMAIN:标签] [CAT:二次元角色/角色] vickie_(cryingrobot)_(character) | 薇琪（CryingRobot）（角色）
[DOMAIN:标签] [CAT:二次元角色/角色] shirogane_noel_(5th_costume) | 白银诺艾尔（第五服装）
[DOMAIN:标签] [CAT:二次元角色/作品] garushaa_wolfein | 加尔沙·沃尔芬
[DOMAIN:标签] [CAT:二次元角色/作品] siegmeyer_of_catarina | 卡塔利纳的索迈尔
[DOMAIN:标签] [CAT:二次元角色/角色] pippi_(osu!) | 皮皮（osu!）
[DOMAIN:标签] [CAT:二次元角色/角色] kate_(idolmaster) | 凯特（偶像大师）
[DOMAIN:标签] [CAT:二次元角色/角色] lian_(aohada_bocchi) | 莲（青肌斑点）
[DOMAIN:标签] [CAT:二次元角色/作品] viewtiful_joe | 幻影乔
[DOMAIN:标签] [CAT:二次元角色/作品] kasuga_misora | 春日美空
[DOMAIN:标签] [CAT:二次元角色/作品] kamimura_akiko | 上村明子
[DOMAIN:标签] [CAT:二次元角色/角色] phantom_blade_(game) | 幻刃（游戏）
[DOMAIN:标签] [CAT:二次元角色/角色] black_panther_(film) | 黑豹（电影）
[DOMAIN:标签] [CAT:二次元角色/作品] 3x3_eyes | 三只眼
[DOMAIN:标签] [CAT:二次元角色/角色] kamen_rider_gavv_(series) | 假面骑士加夫（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] persephone_ii | 珀耳塞福涅二世
[DOMAIN:标签] [CAT:二次元角色/角色] aoi_(houkago_no_pleiades) | 葵（放学后的昴星团）
[DOMAIN:标签] [CAT:二次元角色/角色] kanan_(kanan-sama) | 河南（河南様）
[DOMAIN:标签] [CAT:二次元角色/作品] gabimaru | 我牙丸
[DOMAIN:标签] [CAT:二次元角色/作品] nagase_iori | 长濑伊织
[DOMAIN:标签] [CAT:二次元角色/角色] pan_(panqlao) | 潘（潘巧）
[DOMAIN:标签] [CAT:二次元角色/角色] kevin_(seiken_densetsu_3) | 凯文（圣剑传说3）
[DOMAIN:标签] [CAT:二次元角色/作品] alps_no_shoujo_heidi | 阿尔卑斯少女海蒂
[DOMAIN:标签] [CAT:二次元角色/作品] azuma_fubuki | 东吹雪
[DOMAIN:标签] [CAT:二次元角色/作品] welch_vineyard | 威尔奇葡萄园
[DOMAIN:标签] [CAT:二次元角色/角色] king_ghidorah_(monsterverse) | 王者基多拉（怪兽宇宙）
[DOMAIN:标签] [CAT:二次元角色/角色] alvida_(one_piece) | 亚尔丽塔（海贼王）
[DOMAIN:标签] [CAT:二次元角色/作品] shino_sherwood | 篠·舍伍德
[DOMAIN:标签] [CAT:二次元角色/作品] shiranui_inori | 不知火祈
[DOMAIN:标签] [CAT:二次元角色/角色] falcon_(girls'_frontline) | 猎隼（少女前线）
[DOMAIN:标签] [CAT:二次元角色/角色] shirasu_(mashiro_(rikuya)) | 白洲（真白（理久也））
[DOMAIN:标签] [CAT:二次元角色/作品] blanka-chan | 布兰卡酱
[DOMAIN:标签] [CAT:二次元角色/角色] akutare_(disgaea) | 恶堕（魔界战记）
[DOMAIN:标签] [CAT:二次元角色/角色] nekomata_okayu_(cat) | 猫又尾粥（猫）
[DOMAIN:标签] [CAT:二次元角色/角色] towa_(dragon_ball) | 托娃（龙珠）
[DOMAIN:标签] [CAT:二次元角色/角色] shirayuki_(sister_princess) | 白雪（妹妹公主）
[DOMAIN:标签] [CAT:二次元角色/角色] glorybringer_(granblue_fantasy) | 荣耀使者（碧蓝幻想）
[DOMAIN:标签] [CAT:二次元角色/作品] biker_rosalina | 机车罗莎塔
[DOMAIN:标签] [CAT:二次元角色/作品] tomachop | 友切
[DOMAIN:标签] [CAT:二次元角色/角色] ocelot_(kemono_friends) | 豹猫（兽娘动物园）
